NM_001180043.1	YAL068C
NM_001180106.1	YDL047W
NM_001180105.1	YDL046W
NM_001184304.1	YDL045W-A
NM_001180104.1	YDL045C
NM_001180103.1	YDL044C
NM_001180102.1	YDL043C
NM_001180101.1	YDL042C
NM_001180099.1	YDL040C
NM_001180098.1	YDL039C
NM_001180096.1	YDL037C
NM_001180095.1	YDL036C
NM_001180094.1	YDL035C
NM_001180092.1	YDL033C
NM_001180090.2	YDL031W
NM_001180089.1	YDL030W
NM_001180088.1	YDL029W
NM_001180087.2	YDL028C
NM_001180086.1	YDL027C
NM_001180084.1	YDL025C
NM_001180083.1	YDL024C
NM_001270741.1	YDL022C-A
unassigned_transcript_33	YNCD0004W
NM_001180081.1	YDL022W
NM_001180080.1	YDL021W
NM_001180079.3	YDL020C
NM_001180078.1	YDL019C
NM_001180077.1	YDL018C
NM_001180076.3	YDL017W
NM_001180074.1	YDL015C
NM_001180073.1	YDL014W
NM_001180072.3	YDL013W
NM_001180071.1	YDL012C
NM_001180069.1	YDL010W
NM_001270742.1	YDL009C
NM_001180067.3	YDL008W
unassigned_transcript_34	YNCD0005C
NM_001184682.1	YDL007C-A
unassigned_transcript_35	YNCD0006W
NM_001180066.1	YDL007W
NM_001180065.3	YDL006W
NM_001180064.3	YDL005C
NM_001180063.1	YDL004W
NM_001180062.1	YDL003W
NM_001180061.3	YDL002C
NM_001180060.3	YDL001W
NM_001180309.1	YDR001C
NM_001180310.1	YDR002W
NM_001180311.3	YDR003W
NM_001184646.3	YDR003W-A
NM_001180312.1	YDR004W
NM_001180313.1	YDR005C
NM_001180314.3	YDR006C
NM_001180315.3	YDR007W
NM_001180317.1	YDR009W
NM_001348808.1	YDR010C
NM_001180319.1	YDR011W
NM_001180320.3	YDR012W
NM_001180321.3	YDR013W
NM_001180322.1	YDR014W
NM_001184688.1	YDR014W-A
NM_001180324.3	YDR016C
NM_001180325.3	YDR017C
NM_001180326.1	YDR018C
NM_001180327.1	YDR019C
NM_001180328.3	YDR020C
NM_001180329.3	YDR021W
NM_001180330.1	YDR022C
unassigned_transcript_36	YNCD0007C
NM_001180331.1	YDR023W
NM_001180333.3	YDR025W
NM_001180334.3	YDR026C
NM_001180335.1	YDR027C
NM_001180336.1	YDR028C
NM_001348809.1	YDR029W
NM_001180338.3	YDR030C
NM_001180339.3	YDR031W
NM_001180340.1	YDR032C
NR_188203.1	YNCD0033W
NR_188204.1	YNCD0034C
NM_001180341.1	YDR033W
NM_001180342.3	YDR034C
NM_001184379.4	YDR034C-D
NM_001184378.1	YDR034C-C
unassigned_transcript_37	YNCD0008W
NM_001184326.1	YDR034C-A
unassigned_transcript_38	YNCD0009W
NM_001184327.3	YDR034W-B
NM_001180343.3	YDR035W
NM_001180344.1	YDR036C
NM_001180345.1	YDR037W
NM_001180346.3	YDR038C
NM_001180347.3	YDR039C
NM_001180348.1	YDR040C
NM_001180349.1	YDR041W
NM_001180350.3	YDR042C
NR_132160.1	YNCD0010C
NM_001180351.3	YDR043C
NM_001180352.1	YDR044W
NM_001180353.1	YDR045C
NM_001180354.3	YDR046C
NM_001180355.3	YDR047W
NM_001180357.1	YDR049W
NM_001180358.1	YDR050C
NM_001180359.3	YDR051C
NM_001180360.3	YDR052C
NM_001180362.1	YDR054C
NM_001180363.1	YDR055W
NM_001180364.3	YDR056C
NM_001180365.3	YDR057W
NM_001180366.1	YDR058C
unassigned_transcript_39	YNCD0011W
unassigned_transcript_40	YNCD0012W
NM_001180367.1	YDR059C
NM_001180368.3	YDR060W
NM_001180369.3	YDR061W
NM_001180370.1	YDR062W
NM_001180371.1	YDR063W
NM_001180372.3	YDR064W
NM_001180373.3	YDR065W
NM_001180374.1	YDR066C
NM_001180375.1	YDR067C
NM_001180376.3	YDR068W
NM_001180377.3	YDR069C
NM_001180378.1	YDR070C
NM_001180379.1	YDR071C
NM_001180380.3	YDR072C
NM_001180381.3	YDR073W
NM_001180382.1	YDR074W
NM_001180383.1	YDR075W
NM_001180384.3	YDR076W
NM_001180385.3	YDR077W
NM_001180386.1	YDR078C
NM_001180387.1	YDR079W
NM_001184469.3	YDR079C-A
NM_001180388.3	YDR080W
NM_001180389.1	YDR081C
NM_001180390.1	YDR082W
NM_001180391.3	YDR083W
NM_001180392.3	YDR084C
NM_001180393.1	YDR085C
NM_001180394.1	YDR086C
NM_001180395.3	YDR087C
NM_001180396.3	YDR088C
unassigned_transcript_41	YNCD0013C
NM_001180397.1	YDR089W
NM_001180398.1	YDR090C
NM_001180399.3	YDR091C
NM_001180400.3	YDR092W
NM_001180401.1	YDR093W
NM_001180404.1	YDR096W
NM_001180405.3	YDR097C
NM_001180406.4	YDR098C
unassigned_transcript_42	YNCD0014C
NM_001184417.2	YDR098C-B
NM_001184416.1	YDR098C-A
NM_001180407.3	YDR099W
NM_001180408.3	YDR100W
NM_001180409.1	YDR101C
NM_001348810.1	YDR102C
NM_001180411.1	YDR103W
NM_001180412.3	YDR104C
NM_001180413.3	YDR105C
NM_001180414.1	YDR106W
unassigned_transcript_43	YNCD0015C
NM_001180415.1	YDR107C
NM_001180416.3	YDR108W
NM_001180417.3	YDR109C
NM_001180418.1	YDR110W
NM_001180419.1	YDR111C
NM_001180421.3	YDR113C
NM_001180422.3	YDR114C
NM_001180423.1	YDR115W
NM_001180424.1	YDR116C
NM_001180425.3	YDR117C
NM_001180426.3	YDR118W
NM_001180427.1	YDR119W
NM_001184681.1	YDR119W-A
NM_001180428.3	YDR120C
NM_001180429.3	YDR121W
NM_001180430.1	YDR122W
NM_001180431.1	YDR123C
NM_001180432.3	YDR124W
NM_001180433.3	YDR125C
NM_001180434.1	YDR126W
NM_001180435.1	YDR127W
NM_001180436.3	YDR128W
NM_001180437.3	YDR129C
NM_001180438.1	YDR130C
NM_001180439.1	YDR131C
NM_001180440.3	YDR132C
unassigned_transcript_44	YDR134C
NM_001180442.3	YDR135C
NM_001180444.1	YDR137W
NM_001180445.1	YDR138W
NM_001180446.3	YDR139C
NM_001180447.3	YDR140W
NM_001180448.1	YDR141C
NM_001180449.1	YDR142C
NM_001180450.3	YDR143C
NM_001180451.3	YDR144C
NM_001180452.1	YDR145W
NM_001180453.1	YDR146C
NM_001180454.3	YDR147W
NM_001180455.3	YDR148C
NM_001180457.1	YDR150W
NM_001180458.1	YDR151C
NM_001180459.3	YDR152W
NM_001180460.3	YDR153C
NM_001180462.1	YDR155C
NM_001180463.1	YDR156W
NM_001348811.1	YDR157W
NM_001180465.3	YDR158W
NM_001180466.3	YDR159W
NM_001180467.1	YDR160W
NM_001180468.1	YDR161W
NM_001180469.3	YDR162C
NM_001180470.3	YDR163W
NM_001180471.1	YDR164C
NM_001180472.1	YDR165W
NM_001180473.3	YDR166C
NM_001180474.3	YDR167W
NM_001180475.1	YDR168W
NM_001180476.1	YDR169C
NM_001184544.3	YDR169C-A
NM_001180477.3	YDR170C
unassigned_transcript_45	YNCD0016C
NM_001184320.1	YDR170W-A
NM_001180478.1	YDR171W
NM_001180479.3	YDR172W
NM_001180480.3	YDR173C
NM_001180481.1	YDR174W
NM_001180482.1	YDR175C
NM_001180483.3	YDR176W
NM_001180484.3	YDR177W
NM_001180485.1	YDR178W
NM_001180486.1	YDR179C
NM_001180487.3	YDR179W-A
NM_001180488.3	YDR180W
NM_001180489.1	YDR181C
NM_001180490.1	YDR182W
NM_001184545.3	YDR182W-A
NM_001180491.3	YDR183W
NM_001180492.1	YDR184C
NM_001180493.1	YDR185C
NM_001180494.3	YDR186C
NM_001180496.3	YDR188W
NM_001180497.1	YDR189W
NM_001180498.1	YDR190C
NM_001180499.3	YDR191W
NM_001180500.3	YDR192C
NM_001180502.1	YDR194C
NM_001184546.1	YDR194W-A
NM_001180503.3	YDR195W
NM_001180504.3	YDR196C
NM_001180505.1	YDR197W
NM_001180506.1	YDR198C
NM_001180508.3	YDR200C
NM_001180509.3	YDR201W
NM_001180510.1	YDR202C
NM_001180512.1	YDR204W
NM_001180513.3	YDR205W
NM_001180514.3	YDR206W
NM_001180515.1	YDR207C
NM_001180516.1	YDR208W
NM_001348813.1	YDR209C
NM_001180518.3	YDR210W
NM_001184419.4	YDR210W-B
NM_001184418.1	YDR210W-A
NM_001184436.2	YDR210C-D
NM_001184435.3	YDR210C-C
unassigned_transcript_46	YNCD0017W
NM_001180519.3	YDR211W
NM_001180520.1	YDR212W
NM_001180521.1	YDR213W
NM_001180522.3	YDR214W
NM_001348814.1	YDR215C
NM_001180524.3	YDR216W
NM_001180525.1	YDR217C
NM_001180526.1	YDR218C
NM_001180527.3	YDR219C
NM_001180529.3	YDR221W
NM_001180530.1	YDR222W
NM_001180531.1	YDR223W
NM_001180532.3	YDR224C
NM_001180533.3	YDR225W
NM_001180534.1	YDR226W
NM_001180535.1	YDR227W
NM_001180536.3	YDR228C
NM_001180537.3	YDR229W
NM_001180539.1	YDR231C
NM_001180540.1	YDR232W
NM_001180541.3	YDR233C
NM_001180542.3	YDR234W
NM_001180543.1	YDR235W
NM_001180544.1	YDR236C
NM_001180545.3	YDR237W
NM_001180546.3	YDR238C
NM_001180547.1	YDR239C
NM_001180548.1	YDR240C
unassigned_transcript_47	YNCD0018W
NM_001180550.3	YDR242W
NM_001180551.3	YDR243C
NM_001180552.1	YDR244W
NM_001180553.1	YDR245W
NM_001180554.3	YDR246W
NM_001184547.3	YDR246W-A
NM_001180555.1	YDR247W
NM_001180556.1	YDR248C
NM_001180557.3	YDR249C
NM_001180559.3	YDR251W
NM_001180560.1	YDR252W
NM_001180561.1	YDR253C
NM_001180562.3	YDR254W
NM_001180563.3	YDR255C
NM_001180564.1	YDR256C
NM_001180565.1	YDR257C
NM_001180566.3	YDR258C
NM_001180567.3	YDR259C
NM_001180568.1	YDR260C
NM_001180569.1	YDR261C
unassigned_transcript_48	YNCD0019C
NM_001184423.4	YDR261W-B
NM_001184422.3	YDR261W-A
NM_001184421.2	YDR261C-D
NM_001184420.1	YDR261C-C
unassigned_transcript_49	YNCD0020W
NM_001180570.3	YDR262W
NM_001180571.3	YDR263C
NM_001180572.1	YDR264C
NM_001180573.1	YDR265W
NM_001180574.3	YDR266C
NM_001180575.3	YDR267C
NM_001180576.1	YDR268W
NM_001180578.1	YDR270W
NM_001180580.3	YDR272W
NM_001180581.3	YDR273W
NM_001348815.1	YDR274C
NM_001180583.1	YDR275W
NM_001180584.1	YDR276C
NM_001180585.3	YDR277C
unassigned_transcript_50	YNCD0021C
NM_001180587.3	YDR279W
NM_001180588.1	YDR280W
NM_001180589.1	YDR281C
NM_001180590.3	YDR282C
NM_001180591.3	YDR283C
NM_001180592.1	YDR284C
NM_001180593.1	YDR285W
NM_001180594.3	YDR286C
NM_001180595.3	YDR287W
NM_001180596.1	YDR288W
NM_001180597.1	YDR289C
NM_001180599.3	YDR291W
NM_001180600.3	YDR292C
NM_001180601.1	YDR293C
NM_001180602.1	YDR294C
NM_001180603.3	YDR295C
NM_001180604.3	YDR296W
NM_001180605.1	YDR297W
NM_001180606.1	YDR298C
NM_001180607.3	YDR299W
NM_001180608.3	YDR300C
NM_001180609.1	YDR301W
NM_001180610.1	YDR302W
NM_001180611.3	YDR303C
NM_001180612.3	YDR304C
NM_001180613.1	YDR305C
NM_001180614.1	YDR306C
unassigned_transcript_51	YNCD0022C
NM_001180615.3	YDR307W
NM_001180616.3	YDR308C
NM_001180617.1	YDR309C
NM_001180618.1	YDR310C
NM_001180619.3	YDR311W
NM_001180620.3	YDR312W
NM_001180621.1	YDR313C
NM_001180622.1	YDR314C
NM_001180623.3	YDR315C
NM_001180624.3	YDR316W
unassigned_transcript_52	YNCD0023C
NM_001184425.2	YDR316W-B
NM_001184424.1	YDR316W-A
NM_001180625.3	YDR317W
NM_001180626.3	YDR318W
NM_001180627.1	YDR319C
NM_001180628.1	YDR320C
NM_001184470.3	YDR320C-A
NM_001180629.3	YDR321W
NM_001180630.1	YDR322W
NM_001184348.1	YDR322C-A
NM_001180631.3	YDR323C
NM_001180632.3	YDR324C
NM_001180633.1	YDR325W
NM_001180634.1	YDR326C
NM_001180636.3	YDR328C
NM_001180637.3	YDR329C
NM_001180638.1	YDR330W
NM_001180639.1	YDR331W
NM_001180640.3	YDR332W
NM_001180641.3	YDR333C
NM_001180642.1	YDR334W
NM_001180643.1	YDR335W
NM_001180644.3	YDR336W
NM_001180645.3	YDR337W
NM_001180646.1	YDR338C
NM_001180647.1	YDR339C
unassigned_transcript_53	YNCD0024C
NM_001180649.3	YDR341C
NM_001180650.3	YDR342C
NM_001180651.1	YDR343C
NM_001348817.1	YDR344C
NM_001180653.1	YDR345C
NM_001180654.3	YDR346C
NM_001180655.3	YDR347W
NM_001180656.1	YDR348C
NM_001180657.1	YDR349C
unassigned_transcript_54	YNCD0025W
NM_001180658.4	YDR350C
NM_001180659.3	YDR351W
NM_001180660.1	YDR352W
NM_001180661.1	YDR353W
NM_001180662.3	YDR354W
NM_001180664.3	YDR356W
NM_001180665.1	YDR357C
NM_001180666.1	YDR358W
NM_001180667.3	YDR359C
NM_001180669.3	YDR361C
NM_001180670.1	YDR362C
NM_001180671.1	YDR363W
unassigned_transcript_55	YNCD0026W
NM_001184328.3	YDR363W-A
NM_001180672.3	YDR364C
NM_001180673.1	YDR365C
NM_001184427.2	YDR365W-B
NM_001184426.3	YDR365W-A
NM_001180674.3	YDR366C
NM_001180675.1	YDR367W
NM_001180676.1	YDR368W
NM_001180677.3	YDR369C
NM_001180678.3	YDR370C
NM_001180679.1	YDR371W
NM_001180680.1	YDR372C
NM_001180681.3	YDR373W
NM_001180682.3	YDR374C
NM_001184680.1	YDR374W-A
NM_001180683.1	YDR375C
NM_001180684.3	YDR376W
NM_001180685.3	YDR377W
NM_001180686.1	YDR378C
NM_001180687.1	YDR379W
NM_001184471.3	YDR379C-A
NM_001180688.3	YDR380W
NM_001180689.1	YDR381W
NM_001184511.1	YDR381C-A
NM_001180690.3	YDR382W
NM_001180691.3	YDR383C
NM_001180692.1	YDR384C
NM_001180693.1	YDR385W
NM_001180694.3	YDR386W
NM_001180695.3	YDR387C
NM_001180696.1	YDR388W
NM_001180697.1	YDR389W
NM_001180698.3	YDR390C
unassigned_transcript_56	YNCD0027C
NM_001180699.3	YDR391C
NM_001180700.1	YDR392W
NM_001180701.1	YDR393W
NM_001180702.3	YDR394W
NM_001180703.3	YDR395W
NM_001180705.1	YDR397C
NM_001180706.1	YDR398W
NM_001180707.3	YDR399W
NM_001180708.3	YDR400W
NM_001180710.1	YDR402C
NM_001180711.1	YDR403W
NM_001180712.3	YDR404C
NM_001180713.3	YDR405W
NM_001180714.1	YDR406W
NM_001180715.1	YDR407C
NM_001180716.3	YDR408C
NM_001180717.3	YDR409W
NM_001180718.1	YDR410C
NM_001180719.1	YDR411C
NM_001180720.3	YDR412W
NM_001180722.4	YDR414C
NM_001180723.1	YDR415C
NM_001180724.1	YDR416W
NM_001180726.3	YDR418W
NM_001180727.3	YDR419W
unassigned_transcript_57	YNCD0028W
NM_001180728.1	YDR420W
NM_001180729.1	YDR421W
NM_001180730.3	YDR422C
NM_001180731.3	YDR423C
NM_001180732.1	YDR424C
NM_001180733.1	YDR425W
NM_001180735.3	YDR427W
NM_001180736.3	YDR428C
NM_001180737.1	YDR429C
NM_001180738.1	YDR430C
NM_001180740.3	YDR432W
NM_001180742.3	YDR434W
NM_001180743.1	YDR435C
NM_001180744.1	YDR436W
NM_001180745.3	YDR437W
NM_001180746.3	YDR438W
NM_001180747.1	YDR439W
NM_001180748.1	YDR440W
NM_001180749.3	YDR441C
NM_001180751.3	YDR443C
NM_001180752.1	YDR444W
unassigned_transcript_58	YNCD0029C
NM_001180754.1	YDR446W
NM_001180755.3	YDR447C
NM_001180756.3	YDR448W
NM_001180757.1	YDR449C
NM_001180758.1	YDR450W
NM_001180759.3	YDR451C
NM_001180760.3	YDR452W
NM_001180761.1	YDR453C
NM_001180762.1	YDR454C
NM_001180764.3	YDR456W
NM_001180765.3	YDR457W
NM_001180766.1	YDR458C
NM_001180767.1	YDR459C
NM_001180768.3	YDR460W
NM_001180769.3	YDR461W
NM_001184679.1	YDR461C-A
NM_001180770.1	YDR462W
NM_001180771.3	YDR463W
NM_001180772.3	YDR464W
NM_001180773.1	YDR465C
NM_001180774.1	YDR466W
NM_001180776.3	YDR468C
NM_001180777.3	YDR469W
NM_001180778.2	YDR470C
NM_001180779.1	YDR471W
NR_132161.1	YNCD0030W
NM_001180780.3	YDR472W
NM_001180781.3	YDR473C
NM_001180783.1	YDR475C
NM_001180784.1	YDR476C
NM_001180785.3	YDR477W
NM_001180786.3	YDR478W
NM_001180787.1	YDR479C
NM_001180788.1	YDR480W
NM_001180789.3	YDR481C
NM_001180790.3	YDR482C
NM_001180791.1	YDR483W
NM_001180792.1	YDR484W
NM_001180793.3	YDR485C
NM_001180794.3	YDR486C
NM_001180795.1	YDR487C
NM_001180796.1	YDR488C
NM_001180797.3	YDR489W
NM_001180798.3	YDR490C
NM_001180800.1	YDR492W
NM_001180801.1	YDR493W
NM_001180802.3	YDR494W
NM_001180803.3	YDR495C
NM_001180804.1	YDR496C
NM_001180805.1	YDR497C
NM_001180806.3	YDR498C
NM_001180807.3	YDR499W
NM_001180808.1	YDR500C
NM_001180809.1	YDR501W
NM_001180810.3	YDR502C
NM_001180811.3	YDR503C
NM_001180812.1	YDR504C
NM_001180813.2	YDR505C
NM_001180814.3	YDR506C
unassigned_transcript_59	YNCD0031C
NM_001180815.3	YDR507C
NM_001180816.1	YDR508C
NM_001180818.1	YDR510W
NM_001180819.3	YDR511W
NM_001180820.3	YDR512C
NM_001180821.1	YDR513W
NM_001180822.1	YDR514C
NM_001180823.3	YDR515W
NM_001180824.3	YDR516C
NM_001180825.1	YDR517W
NM_001180826.1	YDR518W
NM_001180827.3	YDR519W
NM_001180828.3	YDR520C
NM_001180830.1	YDR522C
NM_001180831.1	YDR523C
NM_001180832.3	YDR524C
NM_001184632.3	YDR524W-C
NM_001184631.1	YDR524C-B
NM_001348819.1	YDR525W
NM_001184329.1	YDR525W-A
NM_001180835.4	YDR527W
NR_132162.1	YNCD0032C
NM_001180836.3	YDR528W
NM_001180837.1	YDR529C
NM_001180838.1	YDR530C
NM_001180839.3	YDR531W
NM_001180840.3	YDR532C
NM_001180841.1	YDR533C
NM_001180842.1	YDR534C
NM_001180844.3	YDR536W
NM_001180846.3	YDR538W
NM_001180847.1	YDR539W
NM_001180848.1	YDR540C
NM_001180849.4	YDR541C
NM_001180850.3	YDR542W
NM_001180853.1	YDR545W
NM_001184302.1	YEL077C
NM_001180855.1	YEL076C-A
NM_001178891.1	YEL076C
NM_001178890.1	YEL075C
NM_001178888.1	YEL073C
NM_001178887.1	YEL072W
NM_001178886.1	YEL071W
NM_001178885.1	YEL070W
NM_001178884.1	YEL069C
NM_001270743.1	YEL068C
NM_001178882.1	YEL067C
NM_001178881.2	YEL066W
NM_001178880.3	YEL065W
NM_001178879.1	YEL064C
NM_001178878.1	YEL063C
NM_001178877.3	YEL062W
NM_001178876.1	YEL061C
NM_001178875.1	YEL060C
NM_001180854.3	YEL059C-A
NM_001395033.1	YEL059W
NM_001178873.1	YEL058W
NM_001178872.1	YEL057C
NM_001178871.3	YEL056W
NM_001178870.1	YEL055C
NR_132163.1	YNCE0001C
NM_001178869.1	YEL054C
NM_001178868.3	YEL053C
NM_001178867.1	YEL052W
NM_001178866.1	YEL051W
NM_001178865.3	YEL050C
NR_132164.1	YNCE0002W
NR_132165.1	YNCE0003W
unassigned_transcript_60	YNCE0004C
NM_001178864.1	YEL049W
NM_001178863.1	YEL048C
NM_001178862.3	YEL047C
NM_001178861.1	YEL046C
NM_001178859.1	YEL044W
NM_001178858.3	YEL043W
NM_001178857.1	YEL042W
NM_001178856.1	YEL041W
NM_001178855.3	YEL040W
NM_001178854.1	YEL039C
NM_001178853.1	YEL038W
NM_001178852.3	YEL037C
NM_001178851.1	YEL036C
NM_001178850.1	YEL035C
NM_001178849.3	YEL034W
NM_001178848.1	YEL033W
unassigned_transcript_61	YNCE0005W
NM_001178847.1	YEL032W
NM_001178846.3	YEL031W
NM_001178845.1	YEL030W
NM_001178844.1	YEL029C
NM_001348820.1	YEL028W
unassigned_transcript_62	YNCE0006W
NM_001178842.3	YEL027W
NM_001178841.1	YEL026W
NM_001178840.1	YEL025C
NM_001178839.3	YEL024W
NM_001178838.1	YEL023C
NM_001178837.1	YEL022W
NM_001178836.3	YEL021W
NM_001184349.1	YEL020W-A
NR_132166.1	YNCE0007C
NM_001178835.1	YEL020C
NM_001178834.3	YEL019C
NM_001178833.1	YEL018W
NM_001180029.1	YEL017C-A
NM_001178832.3	YEL017W
NM_001178831.1	YEL016C
NM_001178830.1	YEL015W
NM_001348821.1	YEL014C
NM_001178828.3	YEL013W
unassigned_transcript_63	YNCE0008C
NM_001178827.1	YEL012W
NM_001178826.1	YEL011W
unassigned_transcript_64	YNCE0009C
NM_001348822.1	YEL009C-A
unassigned_transcript_65	YNCE0010W
NM_001178824.3	YEL009C
NM_001348823.1	YEL008W
NM_001178822.1	YEL007W
NM_001178821.1	YEL006W
NM_001178820.3	YEL005C
NM_001178819.1	YEL004W
NM_001178818.1	YEL003W
NM_001178817.3	YEL002C
NM_001178816.1	YEL001C
NM_001178892.1	YER001W
NM_001178893.3	YER002W
NM_001178894.1	YER003C
NM_001178895.1	YER004W
NM_001178896.3	YER005W
NM_001178897.1	YER006W
NM_001178898.1	YER007W
NM_001180857.3	YER007C-A
NR_132167.1	YNCE0011C
NM_001178899.1	YER008C
NM_001178900.1	YER009W
NM_001178901.3	YER010C
NM_001178902.1	YER011W
unassigned_transcript_66	YNCE0012W
NM_001178903.1	YER012W
NM_001178904.3	YER013W
NM_001178905.1	YER014W
NM_001184456.1	YER014C-A
NM_001178906.3	YER015W
NM_001178907.1	YER016W
NM_001178908.1	YER017C
NM_001178909.3	YER018C
NM_001178910.1	YER019W
NM_001180031.1	YER019C-A
NM_001178911.3	YER020W
NM_001178912.1	YER021W
NM_001178913.1	YER022W
NM_001178914.3	YER023W
NM_001178915.1	YER024W
NM_001178916.1	YER025W
unassigned_transcript_67	YNCE0013W
NM_001178917.3	YER026C
NM_001178918.1	YER027C
NM_001178919.1	YER028C
NM_001178920.3	YER029C
NM_001178921.1	YER030W
NM_001178922.1	YER031C
NM_001178923.3	YER032W
NM_001178924.1	YER033C
NM_001178925.1	YER034W
NM_001178926.3	YER035W
NM_001178927.1	YER036C
NM_001178928.1	YER037W
NM_001178929.3	YER038C
NM_001301348.1	YER038W-A
NM_001178930.1	YER039C
NM_001184319.1	YER039C-A
NM_001178931.3	YER040W
NM_001178932.2	YER041W
NM_001178933.1	YER042W
NM_001178934.3	YER043C
NM_001178935.1	YER044C
NM_001180023.1	YER044C-A
NM_001178936.3	YER045C
NM_001178937.1	YER046W
NM_001178938.1	YER047C
NM_001178939.3	YER048C
unassigned_transcript_68	YNCE0014W
NM_001184330.1	YER048W-A
NM_001178940.1	YER049W
NM_001178941.3	YER050C
NM_001178942.1	YER051W
NM_001178943.1	YER052C
NM_001178944.3	YER053C
NM_001184444.1	YER053C-A
NM_001178945.1	YER054C
NM_001178946.3	YER055C
NM_001178947.1	YER056C
NM_001180036.1	YER056C-A
NM_001178948.3	YER057C
NM_001178949.1	YER058W
NM_001178950.1	YER059W
NM_001178951.3	YER060W
NM_001180858.1	YER060W-A
NM_001178952.2	YER061C
NM_001178953.3	YER062C
NM_001178954.1	YER063W
NM_001178955.1	YER064C
NM_001178956.3	YER065C
unassigned_transcript_69	YNCE0015C
NM_001178957.1	YER066W
NM_001178958.1	YER067W
NM_001178959.3	YER068W
NM_001178960.1	YER069W
NM_001178961.1	YER070W
NM_001178962.3	YER071C
NM_001178963.1	YER072W
NM_001178964.2	YER073W
NM_001178965.3	YER074W
NM_001184512.1	YER074W-A
NM_001178966.2	YER075C
unassigned_transcript_70	YNCE0016C
NM_001178967.3	YER076C
NM_001178968.1	YER077C
NM_001178969.1	YER078C
NM_001184548.3	YER078W-A
NM_001178970.1	YER079W
NM_001178971.1	YER080W
NR_132168.1	YNCE0017W
NM_001178972.3	YER081W
NM_001178973.1	YER082C
NM_001178974.1	YER083C
NM_001270744.1	YER084W
NM_001178976.3	YER085C
NM_001178977.1	YER086W
NM_001178978.1	YER087W
NM_001180032.3	YER087C-B
NM_001178979.3	YER088C
NM_001178980.1	YER089C
NM_001178981.1	YER090W
NM_001178982.3	YER091C
NM_001178983.3	YER092W
NM_001178984.1	YER093C
NM_001180860.1	YER093C-A
NM_001178985.3	YER094C
NM_001178986.3	YER095W
NM_001178987.1	YER096W
unassigned_transcript_71	YNCE0018W
NM_001178989.1	YER098W
NM_001178990.3	YER099C
NM_001178991.3	YER100W
NM_001178992.1	YER101C
NM_001178993.1	YER102W
NM_001178994.3	YER103W
NM_001178995.3	YER104W
NM_001178996.1	YER105C
NM_001178997.1	YER106W
NM_001178998.3	YER107C
unassigned_transcript_72	YER109C
NM_001179000.1	YER110C
NM_001179001.1	YER111C
NM_001179002.3	YER112W
NM_001179003.3	YER113C
NM_001179004.1	YER114C
NM_001179005.1	YER115C
NM_001179006.3	YER116C
NM_001179007.3	YER117W
NM_001179008.1	YER118C
NM_001179009.1	YER119C
NM_001179010.3	YER120W
NM_001179011.3	YER121W
NM_001179012.1	YER122C
NM_001179013.1	YER123W
NM_001179014.3	YER124C
NM_001179015.3	YER125W
NM_001179016.1	YER126C
NM_001179017.1	YER127W
NM_001179018.3	YER128W
NM_001179019.3	YER129W
NM_001179020.1	YER130C
NM_001179021.1	YER131W
NR_132169.1	YNCE0019W
NM_001179022.3	YER132C
NR_132170.1	YNCE0020C
NM_001179023.3	YER133W
unassigned_transcript_73	YNCE0021C
unassigned_transcript_74	YNCE0022C
NM_001179024.1	YER134C
NM_001348826.1	YER135C
unassigned_transcript_75	YNCE0023W
NM_001179026.1	YER136W
NM_001179027.3	YER137C
NR_132171.1	YNCE0024W
unassigned_transcript_76	YNCE0025C
NM_001179028.4	YER138C
NM_001184428.1	YER137C-A
NM_001184332.1	YER138W-A
NM_001179029.3	YER139C
NM_001179030.3	YER140W
NM_001179031.1	YER141W
NM_001179032.1	YER142C
NM_001179033.3	YER143W
NM_001179034.3	YER144C
NM_001179035.1	YER145C
NM_001348827.1	YER145C-A
NM_001179036.1	YER146W
NM_001179037.3	YER147C
NM_001179038.3	YER148W
NM_001179039.1	YER149C
NM_001179040.1	YER150W
unassigned_transcript_77	YNCE0026W
NM_001179041.3	YER151C
NM_001179042.3	YER152C
NM_001179043.1	YER153C
NM_001179044.1	YER154W
NM_001179045.3	YER155C
NM_001179046.3	YER156C
NM_001179047.1	YER157W
unassigned_transcript_78	YNCE0027C
NM_001179048.1	YER158C
NM_001179049.3	YER159C
unassigned_transcript_79	YNCE0028C
NM_001179050.4	YER160C
NM_001184429.1	YER159C-A
NM_001179051.1	YER161C
NM_001179052.4	YER162C
NM_001179053.3	YER163C
NM_001179054.1	YER164W
NM_001179055.1	YER165W
NM_001179056.3	YER166W
NM_001179057.3	YER167W
NM_001179058.1	YER168C
NM_001179059.1	YER169W
NM_001179060.3	YER170W
NM_001179061.3	YER171W
NM_001179062.1	YER172C
NM_001179063.1	YER173W
NM_001179064.3	YER174C
NM_001179065.3	YER175C
NM_001184589.1	YER175W-A
NM_001179066.1	YER176W
NM_001179067.3	YER177W
NM_001179068.3	YER178W
NM_001179069.1	YER179W
NM_001179070.1	YER180C
NM_001184517.3	YER180C-A
unassigned_transcript_80	YNCE0029C
NM_001348828.1	YER181C
NM_001179072.3	YER182W
NM_001179073.1	YER183C
NM_001179074.1	YER184C
NM_001179075.3	YER185W
NM_001179076.3	YER186C
NM_001179077.1	YER187W
NM_001348829.1	YER188W
NM_001184633.1	YER188C-A
